haut;dx
0;1
0.02;0.944022445
0.04;0.891142229
0.06;0.841019438
0.08;0.793329589
0.1;0.747797807
0.12;0.704193387
0.14;0.662325113
0.16;0.622037164
0.18;0.583205457
0.2;0.545734319
0.22;0.509553393
0.24;0.474614695
0.26;0.440889767
0.28;0.408366886
0.3;0.377048297
0.32;0.346947466
0.34;0.31808635
0.36;0.290492702
0.38;0.26419744
0.4;0.239232113
0.42;0.215626505
0.44;0.193406431
0.46;0.172591772
0.48;0.153194782
0.5;0.135218737
0.52;0.118657843
0.54;0.103513596
0.56;0.089782452
0.58;0.077434365
0.6;0.066417012
0.62;0.056660882
0.64;0.048084027
0.66;0.040596345
0.68;0.034103326
0.7;0.028509219
0.72;0.023719624
0.74;0.019643518
0.76;0.016194771
0.78;0.0132932
0.8;0.010865221
0.82;0.008844167
0.84;0.00717034
0.86;0.005790848
0.88;0.004659284
0.9;0.003735305
0.92;0.00298413
0.94;0.002376016
0.96;0.001885715
0.98;0.001491945
1;0.001176887
1.02;0.000925715
1.04;0.000726164
1.06;0.00056815
1.08;0.000443422
1.1;0.000345264
1.12;0.000268239
1.14;0.000207962
1.16;0.000160913
1.18;0.00012428
1.2;9.58E-05
1.22;7.38E-05
1.24;5.67E-05
1.26;4.35E-05
1.28;3.34E-05
1.3;2.56E-05
1.32;1.96E-05
1.34;1.50E-05
1.36;1.14E-05
1.38;8.72E-06
1.4;6.66E-06
1.42;5.08E-06
1.44;3.88E-06
1.46;2.96E-06
1.48;2.25E-06
1.5;1.72E-06
3;0.00E+00
50;0.00E+00
