haut;dx
0;1
0.02;0.957555238
0.04;0.916912184
0.06;0.877994496
0.08;0.840729054
0.1;0.805045826
0.12;0.770877738
0.14;0.738160551
0.16;0.706832739
0.18;0.676835376
0.2;0.648112029
0.22;0.620608649
0.24;0.594273477
0.26;0.569056939
0.28;0.544911561
0.3;0.521791878
0.32;0.499654351
0.34;0.478457281
0.36;0.458160738
0.38;0.438726482
0.4;0.420117893
0.42;0.402299904
0.44;0.385238931
0.46;0.368902818
0.48;0.353260769
0.5;0.338283294
0.52;0.323942153
0.54;0.310210268
0.56;0.297061678
0.58;0.284471531
0.6;0.272416038
0.62;0.260872429
0.64;0.249818905
0.66;0.239234601
0.68;0.229099542
0.7;0.219394608
0.72;0.210101494
0.74;0.201202679
0.76;0.192681389
0.78;0.184521565
0.8;0.176707837
0.82;0.169225486
0.84;0.162060425
0.86;0.155199166
0.88;0.148628798
0.9;0.142336958
0.92;0.136311813
0.94;0.130542032
0.96;0.125016768
0.98;0.119725636
1;0.114658694
1.02;0.109806422
1.04;0.105159708
1.06;0.100709825
1.08;0.09644842
1.1;0.092367494
1.12;0.08845939
1.14;0.084716774
1.16;0.081132627
1.18;0.077700228
1.2;0.07441314
1.22;0.071265201
1.24;0.068250512
1.26;0.065363423
1.28;0.062598525
1.3;0.059950639
1.32;0.057414805
1.34;0.054986276
1.36;0.052660503
1.38;0.050433135
1.4;0.048300001
1.42;0.046257111
1.44;0.044300641
1.46;0.042426932
1.48;0.040632479
1.5;0.038913926
2;0
50;0
