haut;dx
0;1
0.02;0.961283114
0.04;0.92406135
0.06;0.88825849
0.08;0.853799837
0.1;0.820615994
0.12;0.788642477
0.14;0.757819368
0.16;0.728090984
0.18;0.699405581
0.2;0.671715067
0.22;0.64497475
0.24;0.619143092
0.26;0.594181486
0.28;0.570054049
0.3;0.546727423
0.32;0.524170597
0.34;0.502354731
0.36;0.481253001
0.38;0.460840446
0.4;0.441093825
0.42;0.421991486
0.44;0.403513243
0.46;0.38564025
0.48;0.3683549
0.5;0.351640708
0.52;0.335482222
0.54;0.319864922
0.56;0.304777141
0.58;0.290215245
0.6;0.276176267
0.62;0.262655823
0.64;0.249648238
0.66;0.237146661
0.68;0.225143187
0.7;0.213628965
0.72;0.202594308
0.74;0.192028798
0.76;0.181921386
0.78;0.172260485
0.8;0.163034056
0.82;0.154229698
0.84;0.145834721
0.86;0.137836222
0.88;0.130221152
0.9;0.122976376
0.92;0.116088738
0.94;0.109545103
0.96;0.103332414
0.98;0.097437729
1;0.091848265
1.02;0.086551425
1.04;0.081534836
1.06;0.07678637
1.08;0.07229417
1.1;0.068046669
1.12;0.064032603
1.14;0.060241029
1.16;0.056661334
1.18;0.053283243
1.2;0.050096822
1.22;0.047092487
1.24;0.044261003
1.26;0.041593484
1.28;0.03908139
1.3;0.036716529
1.32;0.034491048
1.34;0.03239743
1.36;0.030428489
1.38;0.028577359
1.4;0.026837493
1.42;0.025202649
1.44;0.023666883
1.46;0.022224534
1.48;0.020870082
1.5;0.019598175
2;0
50;0
