haut;dx
0;0
0.02;0.026855033
0.04;0.053710066
0.06;0.0805651
0.08;0.107420133
0.1;0.134275166
0.12;0.161130199
0.14;0.187985233
0.16;0.214840266
0.18;0.241695299
0.2;0.268550332
0.22;0.291490485
0.24;0.315930828
0.26;0.341873515
0.28;0.369301975
0.3;0.398178144
0.32;0.428439708
0.34;0.459997438
0.36;0.492732724
0.38;0.52649541
0.4;0.561102048
0.42;0.596334718
0.44;0.631940521
0.46;0.667631896
0.48;0.70308787
0.5;0.737956366
0.52;0.771857636
0.54;0.804388888
0.56;0.835134143
0.58;0.863763331
0.6;0.890054721
0.62;0.913817007
0.64;0.93488784
0.66;0.953135608
0.68;0.968460584
0.7;0.980795444
0.72;0.990105168
0.74;0.996386362
0.76;0.999666053
0.78;1
0.8;0.9974706
0.82;0.992184455
0.84;0.98426968
0.86;0.973873014
0.88;0.961156829
0.9;0.946296082
0.92;0.929475298
0.94;0.910885629
0.96;0.89072204
0.98;0.869180671
1;0.846456407
1.02;0.822740681
1.04;0.798219527
1.06;0.7730719
1.08;0.747468258
1.1;0.721569405
1.12;0.695525598
1.14;0.66947589
1.16;0.643547699
1.18;0.617856588
1.2;0.592506236
1.22;0.567588562
1.24;0.543184005
1.26;0.519361918
1.28;0.496181063
1.3;0.473690184
1.32;0.45192864
1.34;0.430927079
1.36;0.410708142
1.38;0.391287169
1.4;0.372672915
1.42;0.354868253
1.44;0.337870848
1.46;0.321673245
1.48;0.306251612
1.5;0.291569322
50;0
