vit;dx
0;0.006571844
0.02;0.007548484
0.04;0.008658246
0.06;0.00991645
0.08;0.011339583
0.1;0.012945262
0.12;0.01475217
0.14;0.01677995
0.16;0.019049058
0.18;0.021580567
0.2;0.024395912
0.22;0.027516585
0.24;0.03096376
0.26;0.034757849
0.28;0.038918034
0.3;0.04346373
0.32;0.048416311
0.34;0.053797013
0.36;0.059626532
0.38;0.065924828
0.4;0.072710927
0.42;0.080002716
0.44;0.087816739
0.46;0.096167996
0.48;0.105069739
0.5;0.114533288
0.52;0.124567842
0.54;0.135180311
0.56;0.14637516
0.58;0.15815427
0.6;0.170516813
0.62;0.183459156
0.64;0.196974781
0.66;0.211054233
0.68;0.225685089
0.7;0.240851954
0.72;0.256536488
0.74;0.272717452
0.76;0.289370786
0.78;0.306469709
0.8;0.323984849
0.82;0.341884389
0.84;0.360134243
0.86;0.378698248
0.88;0.397538373
0.9;0.41661495
0.92;0.435886916
0.94;0.455312061
0.96;0.474847297
0.98;0.494448917
1;0.514072873
1.02;0.533675045
1.04;0.553211508
1.06;0.572638801
1.08;0.591914181
1.1;0.610995875
1.12;0.629843315
1.14;0.648417364
1.16;0.66668052
1.18;0.684597116
1.2;0.702133489
1.22;0.71925814
1.24;0.735941869
1.26;0.752157893
1.28;0.767881945
1.3;0.783092349
1.32;0.797770079
1.34;0.811898795
1.36;0.825464865
1.38;0.838457366
1.4;0.850868065
1.42;0.862691391
1.44;0.873924385
1.46;0.884566639
1.48;0.894620228
1.5;0.904089616
1.52;0.912981573
1.54;0.921305065
1.56;0.929071149
1.58;0.936292856
1.6;0.942985074
1.62;0.949164427
1.64;0.954849152
1.66;0.960058972
1.68;0.96481498
1.7;0.969139514
1.72;0.97305604
1.74;0.976589039
1.76;0.979763896
1.78;0.982606797
1.8;0.98514463
1.82;0.987404896
1.84;0.989415618
1.86;0.991205271
1.88;0.992802707
1.9;0.994237097
1.92;0.995537877
1.94;0.996734703
1.96;0.997857415
1.98;0.998936011
2;1
4;0
50;0
