vit;dx
0;0.189290579
0.02;0.200385511
0.04;0.212116692
0.06;0.224504885
0.08;0.237569333
0.1;0.25132738
0.12;0.265794067
0.14;0.280981694
0.16;0.296899349
0.18;0.313552415
0.2;0.330942048
0.22;0.349064641
0.24;0.367911265
0.26;0.387467107
0.28;0.407710912
0.3;0.428614422
0.32;0.450141844
0.34;0.472249344
0.36;0.494884582
0.38;0.517986304
0.4;0.541484007
0.42;0.565297683
0.44;0.589337671
0.46;0.613504618
0.48;0.637689573
0.5;0.661774233
0.52;0.685631827
0.54;0.709150172
0.56;0.732245312
0.58;0.754835959
0.6;0.776841835
0.62;0.798184196
0.64;0.818786338
0.66;0.8385741
0.68;0.857476341
0.7;0.875425396
0.72;0.892357506
0.74;0.908213211
0.76;0.922937715
0.78;0.936481206
0.8;0.948799143
0.82;0.959852489
0.84;0.969607915
0.86;0.978037941
0.88;0.985121049
0.9;0.990841731
0.92;0.995190507
0.94;0.99816389
0.96;0.999764312
0.98;1
1;0.998884824
1.02;0.996438101
1.04;0.992684363
1.06;0.9876531
1.08;0.981378472
1.1;0.973898996
1.12;0.965257211
1.14;0.955499329
1.16;0.944674873
1.18;0.932836298
1.2;0.920038614
1.22;0.906339002
1.24;0.891796429
1.26;0.876471269
1.28;0.860424931
1.3;0.843719492
1.32;0.826417349
1.34;0.808580875
1.36;0.7902721
1.38;0.771552408
1.4;0.752482247
1.42;0.733120867
1.44;0.713526079
1.46;0.693754027
1.48;0.673858994
1.5;0.653893225
1.52;0.633906774
1.54;0.613947371
1.56;0.594060317
1.58;0.574288391
1.6;0.55467179
1.62;0.535248078
1.64;0.516052162
1.66;0.497116277
1.68;0.478469999
1.7;0.460140264
1.72;0.442151406
1.74;0.424525204
1.76;0.407280949
1.78;0.39043551
1.8;0.374003418
1.82;0.357996952
1.84;0.342426239
1.86;0.327299347
1.88;0.312622397
1.9;0.298399669
1.92;0.284633709
1.94;0.271325446
1.96;0.258474299
1.98;0.246078292
2;0.234134165
3;0
50;0
