vit;dx
0;0.264985749
0.02;0.279617556
0.04;0.294843715
0.06;0.310658404
0.08;0.327051699
0.1;0.344009198
0.12;0.361511667
0.14;0.379534686
0.16;0.398048319
0.18;0.417016805
0.2;0.436398283
0.22;0.456144559
0.24;0.476200918
0.26;0.496505993
0.28;0.516991704
0.3;0.537586833
0.32;0.558237913
0.34;0.578898876
0.36;0.599522919
0.38;0.62006271
0.4;0.640470619
0.42;0.660698952
0.44;0.68070018
0.46;0.700427176
0.48;0.719833444
0.5;0.738873339
0.52;0.757502288
0.54;0.775676998
0.56;0.793355655
0.58;0.810498114
0.6;0.827066078
0.62;0.843023255
0.64;0.858335514
0.66;0.872971012
0.68;0.88690032
0.7;0.900096519
0.72;0.91253529
0.74;0.92419498
0.76;0.935056653
0.78;0.945104132
0.8;0.954324009
0.82;0.962705656
0.84;0.970241207
0.86;0.976925534
0.88;0.982756201
0.9;0.987733412
0.92;0.991859944
0.94;0.995141062
0.96;0.997584434
0.98;0.999200027
1;1
1.02;0.999998588
1.04;0.999211977
1.06;0.997658178
1.08;0.995356892
1.1;0.992329377
1.12;0.988598305
1.14;0.984187629
1.16;0.979122437
1.18;0.973428816
1.2;0.967133713
1.22;0.960264799
1.24;0.952850337
1.26;0.94491905
1.28;0.9365
1.3;0.927622462
1.32;0.918315813
1.34;0.908609419
1.36;0.898532532
1.38;0.888114193
1.4;0.877383135
1.42;0.866367705
1.44;0.855095779
1.46;0.843594693
1.48;0.831891176
1.5;0.820011293
1.52;0.807980387
1.54;0.795823041
1.56;0.78356303
1.58;0.771223291
1.6;0.758825894
1.62;0.746392021
1.64;0.733941942
1.66;0.721495012
1.68;0.709069656
1.7;0.696683369
1.72;0.684352715
1.74;0.672093336
1.76;0.659919954
1.78;0.647846388
1.8;0.635885567
1.82;0.624049547
1.84;0.61234953
1.86;0.600795888
1.88;0.589398185
1.9;0.578165203
1.92;0.567104971
1.94;0.556224788
1.96;0.545531258
1.98;0.535030314
2;0.524727078
3;0
50;0
