vit;dx
0;1
0.02;0.870584208
0.04;0.759631771
0.06;0.664423243
0.08;0.582644544
0.1;0.51232734
0.12;0.451797862
0.14;0.399633063
0.16;0.354623134
0.18;0.315739514
0.2;0.282107635
0.22;0.252983726
0.24;0.227735105
0.26;0.205823443
0.28;0.186788275
0.3;0.170217341
0.32;0.155753104
0.34;0.143095932
0.36;0.131994089
0.38;0.122235471
0.4;0.113640866
0.42;0.106058453
0.44;0.099359286
0.46;0.093433584
0.48;0.08818767
0.5;0.083541448
0.52;0.081684131
0.54;0.079826813
0.56;0.077969496
0.58;0.076112179
0.6;0.074254861
0.62;0.072397544
0.64;0.070540226
0.66;0.068682909
0.68;0.066825591
0.7;0.064968274
0.72;0.063110956
0.74;0.061253639
0.76;0.059396321
0.78;0.057539004
0.8;0.055681686
0.82;0.053824369
0.84;0.051967051
0.86;0.050109734
0.88;0.048252417
0.9;0.046395099
0.92;0.044537782
0.94;0.042680464
0.96;0.040823147
0.98;0.038965829
1;0.037108512
1.02;0.035251194
1.04;0.033393877
1.06;0.031536559
1.08;0.029679242
1.1;0.027821924
1.12;0.025964607
1.14;0.02410729
1.16;0.022249972
1.18;0.020392655
1.2;0.018535337
1.22;0.01667802
1.24;0.014820702
1.26;0.012963385
1.28;0.011106067
1.3;0.00924875
1.32;0.007391432
1.34;0.005534115
1.36;0.003676797
1.38;0.00181948
1.4;0
1.42;0
1.44;0
1.46;0
1.48;0
1.5;0
1.52;0
1.54;0
1.56;0
1.58;0
1.6;0
1.62;0
1.64;0
1.66;0
1.68;0
1.7;0
1.72;0
1.74;0
1.76;0
1.78;0
1.8;0
1.82;0
1.84;0
1.86;0
1.88;0
1.9;0
1.92;0
1.94;0
1.96;0
1.98;0
2;0
50;0
