AFLU	0.5	0.625	0.75	0.875	1	1	1	1	0.875	0.875	0.75	0.75	0.625	0.5	0.5	0.375	0.25	0.125	0.125	0
ATSP	0	0.125	0.25	0.25	0.375	0.375	0.5	0.5	0.625	0.625	0.75	0.75	0.875	0.875	0.875	1	1	1	1	0.875
BFUS	0.25	0.5	0.625	0.75	0.875	1	1	1	1	1	0.875	0.875	0.75	0.625	0.5	0.375	0.25	0.125	0.125	0
BRHO	0.333333333	0.333333333	0.5	0.5	0.666666667	0.666666667	0.833333333	0.833333333	0.833333333	1	1	1	1	1	1	1	1	1	1	1
BASP	0.333333333	0.5	0.5	0.666666667	0.666666667	0.833333333	0.833333333	0.833333333	1	1	1	1	1	1	1	1	1	1	0.833333333	0.666666667
GFOS	0.714285714	0.857142857	0.857142857	1	1	1	1	1	0.857142857	0.857142857	0.857142857	0.714285714	0.714285714	0.714285714	0.571428571	0.571428571	0.428571429	0.285714286	0.285714286	0.142857143
GPUL	0.857142857	1	1	1	1	1	1	0.857142857	0.857142857	0.857142857	0.714285714	0.714285714	0.714285714	0.571428571	0.571428571	0.428571429	0.428571429	0.285714286	0.285714286	0.142857143
GASP	0.285714286	0.428571429	0.714285714	0.857142857	0.857142857	1	1	1	1	1	1	1	0.857142857	0.714285714	0.714285714	0.571428571	0.428571429	0.285714286	0.142857143	0.142857143
GCOM	1	1	1	0.909090909	0.818181818	0.727272727	0.636363636	0.545454545	0.545454545	0.454545455	0.363636364	0.272727273	0.272727273	0.181818182	0.181818182	0.090909091	0.090909091	0	0	0
HINC	0	0.111111111	0.111111111	0.111111111	0.222222222	0.222222222	0.333333333	0.444444444	0.444444444	0.555555556	0.555555556	0.666666667	0.666666667	0.777777778	0.888888889	0.888888889	1	1	1	1
HSIL	0.083333333	0.083333333	0.166666667	0.166666667	0.166666667	0.25	0.25	0.333333333	0.333333333	0.333333333	0.416666667	0.416666667	0.5	0.5	0.583333333	0.583333333	0.666666667	0.75	0.833333333	1
HYSP	0	0	0.111111111	0.111111111	0.222222222	0.222222222	0.333333333	0.444444444	0.444444444	0.555555556	0.666666667	0.666666667	0.777777778	0.888888889	0.888888889	0.888888889	1	1	0.888888889	0.777777778
PISP	1	0.923076923	0.769230769	0.692307692	0.615384615	0.538461538	0.538461538	0.461538462	0.384615385	0.307692308	0.307692308	0.230769231	0.230769231	0.153846154	0.153846154	0.076923077	0.076923077	0.076923077	0	0
PFLA	0.75	0.875	1	1	1	1	1	0.875	0.875	0.75	0.75	0.625	0.5	0.5	0.375	0.25	0.25	0.125	0.125	0
PPUS	0.142857143	0.285714286	0.428571429	0.428571429	0.571428571	0.714285714	0.714285714	0.857142857	0.857142857	0.857142857	1	1	1	1	1	0.857142857	0.857142857	0.714285714	0.714285714	0.428571429
RABL	0.666666667	0.777777778	0.888888889	1	1	1	0.888888889	0.888888889	0.777777778	0.666666667	0.555555556	0.555555556	0.444444444	0.333333333	0.222222222	0.222222222	0.111111111	0.111111111	0	0
SIGN	0.625	0.875	0.875	1	1	1	0.875	0.875	0.875	0.75	0.75	0.625	0.625	0.5	0.375	0.375	0.25	0.25	0.125	0
SIMU	0	0	0	0.090909091	0.090909091	0.181818182	0.181818182	0.272727273	0.272727273	0.363636364	0.454545455	0.545454545	0.636363636	0.636363636	0.727272727	0.818181818	0.909090909	0.909090909	1	0.909090909
