"vit";"haut";"dx"
0;0;0.00787378851507135
0.02;0;0.00903466963328784
0.04;0;0.0103521983762153
0.06;0;0.0118441160596536
0.08;0;0.0135294600267294
0.1;0;0.0154285103208995
0.12;0;0.0175626978656563
0.14;0;0.0199544678039601
0.16;0;0.0226270915698725
0.18;0;0.0256044214068261
0.2;0;0.0289105814633634
0.22;0;0.0325695903404116
0.24;0;0.0366049110843279
0.26;0;0.0410389261613797
0.28;0;0.0458923752270421
0.3;0;0.0511861034328296
0.32;0;0.0569431153249081
0.34;0;0.0631860605066603
0.36;0;0.0699367617092078
0.38;0;0.0772159869303526
0.4;0;0.085043217747843
0.42;0;0.0934364164953251
0.44;0;0.102411795137298
0.46;0;0.111983588784026
0.48;0;0.122163836845226
0.5;0;0.132962174829842
0.52;0;0.144385639756683
0.54;0;0.156438492046884
0.56;0;0.169122056624459
0.58;0;0.182434585757665
0.6;0;0.196371145934204
0.62;0;0.210923530781378
0.64;0;0.226080201723031
0.66;0;0.241826257714066
0.68;0;0.258143435016779
0.7;0;0.275010137588215
0.72;0;0.292401498241112
0.74;0;0.310289470330636
0.76;0;0.328642949311902
0.78;0;0.347427923116967
0.8;0;0.366607649921246
0.82;0;0.386142861514779
0.84;0;0.405991990169292
0.86;0;0.426111416602897
0.88;0;0.446455736394587
0.9;0;0.466978041994526
0.92;0;0.487630217315242
0.94;0;0.508363241775733
0.96;0;0.529127500605027
0.98;0;0.549873098194189
1;0;0.570550171314737
1.02;0;0.591109199094905
1.04;0;0.611501306760526
1.06;0;0.63167856030116
1.08;0;0.651594249410072
1.1;0;0.671203156265295
1.12;0;0.690461807962225
1.14;0;0.709328710672554
1.16;0;0.727764563883357
1.18;0;0.745732453359901
1.2;0;0.763198021770374
1.22;0;0.780129616206309
1.24;0;0.79649841212375
1.26;0;0.812278513513316
1.28;0;0.827447029378895
1.3;0;0.841984126860598
1.32;0;0.855873061575901
1.34;0;0.869100185970301
1.36;0;0.881654936664442
1.38;0;0.89352980195649
1.4;0;0.904720270785844
1.42;0;0.915224764586747
1.44;0;0.92504455355834
1.46;0;0.934183658950802
1.48;0;0.942648743016942
1.5;0;0.950448988306139
1.52;0;0.957595967983332
1.54;0;0.964103508842514
1.56;0;0.969987548652983
1.58;0;0.975265989429461
1.6;0;0.979958548156261
1.62;0;0.984086606422681
1.64;0;0.987673060344221
1.66;0;0.990742172053235
1.68;0;0.993319423946329
1.7;0;0.995431376774899
1.72;0;0.997105532562149
1.74;0;0.99837020322636
1.76;0;0.999254385686711
1.78;0;0.99978764412769
1.8;0;1
1.82;0;0.999921830243094
1.84;0;0.999583774126642
