haut;dx
0;1
0.02;0.966756767
0.04;0.934613126
0.06;0.903506204
0.08;0.873372709
0.1;0.844154457
0.12;0.815798022
0.14;0.788254423
0.16;0.761478823
0.18;0.735430261
0.2;0.710071403
0.22;0.685368305
0.24;0.661290199
0.26;0.637809286
0.28;0.614900549
0.3;0.592541566
0.32;0.570712345
0.34;0.549395156
0.36;0.528574375
0.38;0.508236337
0.4;0.488369187
0.42;0.468962742
0.44;0.450008354
0.46;0.431498779
0.48;0.413428042
0.5;0.395791318
0.52;0.378584804
0.54;0.361805648
0.56;0.345457804
0.58;0.329555942
0.6;0.31411337
0.62;0.299140695
0.64;0.284645969
0.66;0.270634841
0.68;0.257110707
0.7;0.244074875
0.72;0.231526713
0.74;0.219463812
0.76;0.207882138
0.78;0.196776186
0.8;0.186139129
0.82;0.175962956
0.84;0.166238618
0.86;0.156956157
0.88;0.148104828
0.9;0.139673226
0.92;0.131649395
0.94;0.124020931
0.96;0.116775084
0.98;0.109898846
1;0.103379037
1.02;0.097202381
1.04;0.091355576
1.06;0.085825356
1.08;0.08059855
1.1;0.075662131
1.12;0.071003261
1.14;0.066609332
1.16;0.062467996
1.18;0.058567198
1.2;0.054895199
1.22;0.051440595
1.24;0.048192336
1.26;0.045139735
1.28;0.04227248
1.3;0.039580639
1.32;0.037054667
1.34;0.0346854
1.36;0.032464061
1.38;0.030382255
1.4;0.028431963
1.42;0.026605536
1.44;0.024895692
1.46;0.023295491
1.48;0.021798136
1.5;0.020397026
3;0
50;0
