haut;dx
0;1
0.02;0.93161759
0.04;0.867946873
0.06;0.808693906
0.08;0.75357858
0.1;0.702334578
0.12;0.654709237
0.14;0.610463329
0.16;0.569370774
0.18;0.531218292
0.2;0.495805014
0.22;0.462942052
0.24;0.432452047
0.26;0.404168696
0.28;0.37793626
0.3;0.353609077
0.32;0.331051062
0.34;0.310135218
0.36;0.290743148
0.38;0.272764582
0.4;0.256096907
0.42;0.240644721
0.44;0.226319398
0.46;0.213038665
0.48;0.20072621
0.5;0.18931129
0.52;0.178728347
0.54;0.168913373
0.56;0.159801521
0.58;0.15133339
0.6;0.1434552
0.62;0.136118206
0.64;0.129278179
0.66;0.122894947
0.68;0.116931984
0.7;0.111356047
0.72;0.106136849
0.74;0.10124677
0.76;0.096660596
0.78;0.092355287
0.8;0.088309773
0.82;0.084504762
0.84;0.080922578
0.86;0.077547009
0.88;0.074363174
0.9;0.071357397
0.92;0.068517105
0.94;0.065830725
0.96;0.063287596
0.98;0.06087789
1;0.058592539
1.02;0.05642317
1.04;0.054362045
1.06;0.052402008
1.08;0.050536437
1.1;0.048759198
1.12;0.047064607
1.14;0.045447392
1.16;0.043902662
1.18;0.042425874
1.2;0.041012808
1.22;0.03965954
1.24;0.038362421
1.26;0.037118054
1.28;0.035923279
1.3;0.034775149
1.32;0.033670923
1.34;0.032608041
1.36;0.03158412
1.38;0.030596935
1.4;0.029644414
1.42;0.02872462
1.44;0.027835749
1.46;0.026976115
1.48;0.026144149
1.5;0.025338384
2;0
50;0
