vit;dx
0;0.152986461
0.02;0.162334093
0.04;0.172242267
0.06;0.182732684
0.08;0.193826206
0.1;0.205542565
0.12;0.217900043
0.14;0.230915126
0.16;0.244602123
0.18;0.258972765
0.2;0.274035764
0.22;0.289796366
0.24;0.306255865
0.26;0.323411112
0.28;0.341254005
0.3;0.359770978
0.32;0.378942488
0.34;0.398742506
0.36;0.41913804
0.38;0.44008867
0.4;0.461546132
0.42;0.483453954
0.44;0.505747148
0.46;0.528351992
0.48;0.551185886
0.5;0.574157331
0.52;0.597166949
0.54;0.620129281
0.56;0.642977263
0.58;0.66564374
0.6;0.688060939
0.62;0.710160851
0.64;0.73187562
0.66;0.753137926
0.68;0.773881381
0.7;0.794040907
0.72;0.813553112
0.74;0.832356655
0.76;0.850392595
0.78;0.867604726
0.8;0.883939883
0.82;0.899348239
0.84;0.913783565
0.86;0.927203469
0.88;0.93956961
0.9;0.950847874
0.92;0.961008523
0.94;0.970026317
0.96;0.977880598
0.98;0.984555342
1;0.990039185
1.02;0.994325414
1.04;0.997411926
1.06;0.999301159
1.08;1
1.1;0.999519657
1.12;0.997875516
1.14;0.995086968
1.16;0.991177217
1.18;0.986173073
1.2;0.980104727
1.22;0.973005507
1.24;0.964911627
1.26;0.95586193
1.28;0.945897616
1.3;0.935061969
1.32;0.923400086
1.34;0.910958594
1.36;0.897785385
1.38;0.883929339
1.4;0.86944006
1.42;0.854367621
1.44;0.838762313
1.46;0.822674407
1.48;0.806153922
1.5;0.789250416
1.52;0.772012775
1.54;0.754489033
1.56;0.736726189
1.58;0.718770055
1.6;0.700665105
1.62;0.682454348
1.64;0.664179216
1.66;0.64587946
1.68;0.627593069
1.7;0.609356198
1.72;0.591203115
1.74;0.573166154
1.76;0.555275688
1.78;0.537560114
1.8;0.520045842
1.82;0.502757304
1.84;0.485716967
1.86;0.468945359
1.88;0.452461103
1.9;0.436280952
1.92;0.420419845
1.94;0.404890951
1.96;0.389705738
1.98;0.374874027
2;0.360404066
3;0
50;0
